M=SL_NWP_Log
V=2026/06/16-16:38:02
526 SL_LOG_SIGNAL_LOST_DID  common: Signal lost: %d
527 BTAPP_A2DP_EVENTHNDLR_EVENT_TRIGGER  BT_BLE_STACK: EID: %1x
528 BT_APP_AUDIOPLAYSYNC_INFO  BT_BLE_STACK: CUR_BRST_D: %d,A2DP_BRST_CNT: %b
529 BT_APP_AUDIOPLAYSYNC_EVENT_A2DP_DATA_REQ_1  BT_BLE_STACK:
530 BT_APP_AUDIOPLAYSYNC_EVENT_A2DP_DATA_REQ_2  BT_BLE_STACK:
531 BT_APP_AUDIOPLAYSYNC_SUSPEND_TO_BE_TRIGGERED  BT_BLE_STACK:
532 BT_APP_AUDIOPLAYSYNC_SUSPEND_TRIGGERED  BT_BLE_STACK:
533 BT_APP_AUDIOPLAYSYNC_PERIODIC_MORE_DATA_POLLING  BT_BLE_STACK:
534 BT_APP_AUDIOPLAYSYNC_EVENT_A2DP_DATA_REQ_3  BT_BLE_STACK:
535 BT_APP_HOST_INTFTASK_INFO  BT_BLE_STACK: RID: %d
536 BT_APP_HOST_INTFTASK_REQID_BT_CMD_FROM_HOST_TX_ENTRY  BT_BLE_STACK:
537 BT_APP_HOST_INTFTASK_INTF_TYPE_AND_CMD_ID  BT_BLE_STACK: IF:%d, CMD:%w
538 BT_APP_HOST_INTFTASK_HOST_PKT_FREE_SUCCESSFUL  BT_BLE_STACK:
539 BT_APP_HOST_INTFTASK_REQID_BT_FROM_EVENT_MODULE_TO_HOST  BT_BLE_STACK:
540 BT_APP_HOST_BINARY_CMDPROCESS_RESP  BT_BLE_STACK: CMD_T: %2x, REP: %1x
541 SL_BTDM_LOG_HCI_CMD_ERR  BT_BLE_STACK: CMD_T: %02x, ERR: %02x
542 BT_APP_HOST_BINARY_CMDPROCESS_NO_RESP_TO_HOST  BT_BLE_STACK: CMD_T: %2x
543 BT_APP_HOST_CMD_SETLOCALCOD_TRIGGER  BT_BLE_STACK:
544 BT_APP_HOST_CMD_GETLOCALCOD_TRIGGER  BT_BLE_STACK:
545 BT_APP_HOST_CMD_SETPROFILEMODE_TRIGGER  BT_BLE_STACK:
546 BT_APP_HOST_CMD_SETDISCOVERYMODE_TRIGGER  BT_BLE_STACK:
547 BT_APP_HOST_CMD_GETDISCOVERYMODE_TRIGGER  BT_BLE_STACK:
548 BT_APP_HOST_CMD_SETCONNECTIVITYMODE_TRIGGER  BT_BLE_STACK:
549 BT_APP_HOST_CMD_GETCONNECTIVITYMODE_TRIGGER  BT_BLE_STACK:
550 BT_APP_HOST_CMD_SETPAIRMODE_TRIGGER  BT_BLE_STACK:
551 BT_APP_HOST_CMD_GETPAIRMODE_TRIGGER  BT_BLE_STACK:
552 BT_APP_HOST_CMD_REMOTENAMEREQUEST_TRIGGER  BT_BLE_STACK:
553 BT_APP_HOST_CMD_REMOTENAMEREQUESTCANCEL_TRIGGER  BT_BLE_STACK:
554 BT_APP_HOST_CMD_INQUIRY_TRIGGER  BT_BLE_STACK:
555 BT_APP_HOST_CMD_INQUIRYCANCEL_TRIGGER  BT_BLE_STACK:
556 BT_APP_HOST_CMD_BOND_TRIGGER  BT_BLE_STACK:
557 BT_APP_HOST_CMD_BONDCANCEL_TRIGGER  BT_BLE_STACK:
558 BT_APP_HOST_CMD_UNBOND_TRIGGER  BT_BLE_STACK:
559 BT_APP_HOST_CMD_SETPINTYPE_TRIGGER  BT_BLE_STACK:
560 BT_APP_HOST_CMD_GETPINTYPE_TRIGGER  BT_BLE_STACK:
561 BT_APP_HOST_CMD_USERCONFIRMATION_TRIGGER  BT_BLE_STACK:
562 BT_APP_HOST_CMD_PASSKEYREQUESTREPLY_TRIGGER  BT_BLE_STACK:
563 BT_APP_HOST_CMD_PINCODEREQUESTREPLY_TRIGGER  BT_BLE_STACK:
564 BT_APP_HOST_CMD_GETMASTERSLAVEROLE_TRIGGER  BT_BLE_STACK:
565 BT_APP_HOST_CMD_SETMASTERSLAVEROLE_TRIGGER  BT_BLE_STACK:
566 BT_APP_HOST_CMD_GETSERIVCES_TRIGGER  BT_BLE_STACK:
567 BT_APP_HOST_CMD_SEARCHSERVICE_TRIGGER  BT_BLE_STACK:
568 BT_APP_MODULE_EVENT_A2DP_DATA_REQ_TRIGGER  BT_BLE_STACK:
569 BT_APP_HOST_CMD_SBCDATA_INFO  BT_BLE_STACK: SBC_L: %w
570 BT_APP_HOST_CMD_SBCDATA_ERROR  BT_BLE_STACK: EC: %4x
571 BT_APP_HOST_CMD_AE_OPCODE  BT_BLE_STACK: CMD_T: %2x
572 BTAPP_SPP_EVENTHNDLR_INFO  BT_BLE_STACK: EID: %b
573 BT_INTERFACE_STACKWRITEQUE_SBC_PACKET  BT_BLE_STACK: ACL_PKT_C: %b,A2DP_PKT_C: %b
